apprendimento policy e Q
----------------------------------
griglia (30x15):
..............................
###...........................
..#.####...............##.....
..#.#..#.............##.###...
.##.#..#.............#....#...
.#S.#..#....#........#....#...
.####..#....#........#G...#...
.......###.#######...##..#....
.......#....#.........#..#....
.......#....#.........#..#....
.......#....#......####..#....
............######......##....
..............................
..............................
..............................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
25,12,Sinistra,6.75972,5.53231,5.84341,6.75972,5.94809
26,12,Giu,5.38585,5.17923,5.38585,4.88388,5.09642
27,12,Giu,5.80138,5.08868,5.80138,4.84659,4.82136
28,12,Giu,4.30846,3.88344,4.30846,4.15127,3.92753
29,12,Sinistra,2.8717,2.44728,2.39118,2.8717,1.77796
0,13,Giu,2.55429,1.97292,2.55429,1.70684,2.51451
1,13,Destra,2.56755,2.26444,2.41711,2.41228,2.56755
2,13,Destra,2.47538,2.24458,2.28683,2.10127,2.47538
3,13,Destra,2.63035,2.31396,2.543,2.46681,2.63035
4,13,Destra,2.56654,2.42135,2.41643,2.40482,2.56654
5,13,Giu,2.27518,2.17651,2.27518,2.11493,2.22677
6,13,Giu,2.29181,2.23355,2.29181,2.05337,2.28733
7,13,Destra,1.96425,1.81389,1.94123,1.78469,1.96425
8,13,Destra,2.28711,2.02338,1.98897,2.06106,2.28711
9,13,Destra,2.47392,2.17697,2.29964,2.38203,2.47392
10,13,Destra,3.74166,3.23946,3.32825,3.35318,3.74166
11,13,Destra,3.86192,3.77024,3.7771,3.44879,3.86192
12,13,Destra,4.17934,3.69464,3.64154,3.65519,4.17934
13,13,Destra,4.45225,3.99767,3.9594,3.8032,4.45225
14,13,Destra,4.75637,4.32859,3.86852,4.27268,4.75637
15,13,Destra,5.19583,4.70737,4.57188,4.83305,5.19583
16,13,Destra,5.60189,4.76603,4.74649,4.9693,5.60189
17,13,Destra,5.46467,4.57631,4.54045,4.49552,5.46467
18,13,Destra,5.54726,5.16994,4.99199,5.14256,5.54726
19,13,Destra,5.66067,5.39575,5.13834,5.15179,5.66067
20,13,Destra,5.98077,5.60201,5.43273,5.59764,5.98077
21,13,Destra,6.30785,5.89992,5.91333,5.81401,6.30785
22,13,Destra,6.58894,6.50032,6.11981,6.08632,6.58894
23,13,Su,6.92396,6.92396,6.57838,6.43408,6.5291
24,13,Sinistra,6.76449,6.25739,6.30995,6.76449,6.10284
25,13,Sinistra,7.119,6.36697,6.28429,7.119,6.17062
26,13,Sinistra,6.84307,5.65824,6.35833,6.84307,5.76339
27,13,Sinistra,6.39818,4.80895,5.4493,6.39818,4.74802
28,13,Sinistra,4.53677,4.00801,4.12189,4.53677,3.93968
29,13,Sinistra,2.77003,2.18009,2.52071,2.77003,1.7901
0,14,Destra,2.30746,1.79631,1.08931,1.55686,2.30746
1,14,Destra,2.28951,2.13508,1.62227,2.15152,2.28951
