apprendimento policy e Q
----------------------------------
griglia (18x15):
..................
S###..............
#..#..............
...#..............
...#..............
...#..###....#....
...####.#....#....
....##..#....#....
........#....##...
........#.....#...
.........#....#...
.........G####....
..................
..................
..................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
16,11,Sinistra,6.56681,5.79999,6.35277,6.56681,5.31567
17,11,Sinistra,6.40983,5.14833,4.99863,6.40983,4.03973
0,12,Giu,3.56579,3.40513,3.56579,2.97498,3.3297
1,12,Destra,4.36651,4.00624,4.03313,3.49267,4.36651
2,12,Destra,4.14378,3.81703,3.76887,3.65053,4.14378
3,12,Destra,4.49526,3.99294,3.56659,4.02186,4.49526
4,12,Giu,4.52123,3.65993,4.52123,3.66717,3.85787
5,12,Sinistra,4.73648,3.84565,4.37422,4.73648,4.02474
6,12,Su,4.70781,4.70781,4.49094,4.43603,4.61294
7,12,Destra,6.44289,6.18915,6.25131,6.21802,6.44289
8,12,Destra,9.46596,7.86658,8.31535,8.34904,9.46596
9,12,Su,9.99903,9.99903,8.85445,9.02376,9.10364
10,12,Sinistra,9.4894,8.03921,8.51312,9.4894,8.51885
11,12,Sinistra,9.00515,7.72606,8.04993,9.00515,8.0533
12,12,Sinistra,8.54463,7.11616,7.68127,8.54463,7.69639
13,12,Sinistra,8.10662,6.71791,7.29037,8.10662,7.31056
14,12,Sinistra,7.68847,6.76901,7.22254,7.68847,6.95089
15,12,Sinistra,7.28982,6.47455,6.75782,7.28982,5.93743
16,12,Sinistra,6.249,4.91451,5.17563,6.249,5.50503
17,12,Su,4.30308,4.30308,3.82494,4.27239,3.71741
0,13,Giu,2.99582,2.84567,2.99582,2.51245,2.80123
1,13,Sinistra,3.55929,3.41696,3.55642,3.55929,3.5142
2,13,Destra,4.13986,3.84119,3.80091,3.44758,4.13986
3,13,Giu,3.52343,3.27014,3.52343,3.47941,3.30754
4,13,Destra,4.82261,4.46471,4.54256,4.3025,4.82261
5,13,Destra,4.52892,4.39611,4.39841,3.90447,4.52892
6,13,Su,4.7306,4.7306,4.70261,4.10737,4.67175
7,13,Su,4.67507,4.67507,4.28741,3.83433,4.53835
8,13,Destra,6.9818,5.80167,5.90068,6.6844,6.9818
9,13,Su,9.45636,9.45636,6.62383,6.56421,8.15556
10,13,Su,9.01574,9.01574,5.93064,8.07551,7.70997
11,13,Sinistra,8.58568,7.29554,6.9581,8.58568,8.33912
12,13,Su,8.10167,8.10167,5.88736,7.75898,6.7132
13,13,Sinistra,7.73728,5.99992,6.23546,7.73728,5.05623
14,13,Sinistra,7.31691,7.27546,6.32446,7.31691,6.93664
15,13,Sinistra,5.5261,4.82069,5.11677,5.5261,4.7274
16,13,Giu,4.29199,4.08563,4.29199,4.02587,4.20599
17,13,Su,3.5663,3.5663,3.22741,3.33724,2.92456
0,14,Destra,2.55062,2.19925,2.35744,1.5835,2.55062
1,14,Destra,3.73794,3.34857,3.47125,3.40194,3.73794
2,14,Giu,3.15493,3.06876,3.15493,2.70892,3.02246
3,14,Su,3.74858,3.74858,2.9316,3.58835,3.13321
4,14,Sinistra,4.2571,4.0867,3.13424,4.2571,4.22994
5,14,Su,3.95883,3.95883,3.43164,3.12671,3.51427
6,14,Sinistra,3.96286,3.66464,3.41349,3.96286,3.28249
7,14,Su,4.58459,4.58459,4.15502,4.34783,4.19259
8,14,Destra,4.02867,3.17877,3.68683,3.92508,4.02867
9,14,Destra,4.35765,3.98695,3.92687,4.23653,4.35765
10,14,Destra,5.40535,4.0362,4.6717,4.27999,5.40535
11,14,Su,8.19282,8.19282,5.97833,6.57275,6.76764
12,14,Sinistra,7.27991,6.13952,6.99202,7.27991,6.43337
13,14,Sinistra,5.07174,3.91725,3.54459,5.07174,4.6591
14,14,Su,5.87966,5.87966,4.79754,5.38173,4.95953
15,14,Sinistra,4.0003,3.70428,3.59553,4.0003,3.98736
16,14,Sinistra,3.38583,3.33809,2.14788,3.38583,3.37035
17,14,Destra,2.54927,2.25013,1.8229,2.33535,2.54927
